"","fraud","sex","age","income1","same_city","same_count","seller_sco","dispersao","type","V10","V11","V12"
"1","N","M",30,0.2,0,0,0.767676767676768,0.134981627090873,1,0,1,5
"2","Y","M",32,0.2,0,0,0.101010101010101,0.0789129985434364,1,0.114365411436541,0.885634588563459,8
"3","N","M",22,0.2,1,1,0.0505050505050505,0.0115112811073009,0.25,0.0742939898624185,0.925706010137581,4
"4","N","F",44,0.2,1,1,0.505050505050505,0.00975205192724784,0,0.0427818329278183,0.957218167072182,3
"5","N","M",39,0.2,1,1,0.313131313131313,0.00644045125566917,0.75,0.0301009372746936,0.969899062725306,3
"6","N","M",52,0.2,0,0,0.808080808080808,0.181971385266548,1,0,1,5
"7","N","F",45,0.2,0,1,0.808080808080808,0.0297485894021193,1,0,1,3
"8","N","M",68,0.2,1,1,0.232323232323232,0.00785492508852974,0.5,0.0359783845278726,0.964021615472127,2
"9","N","F",51,0.2,1,1,0.202020202020202,0.00608300323788954,0.25,0.0252552391187534,0.974744760881247,2
"10","N","F",26,0.2,0,1,0.111111111111111,0.0600738910812952,1,0.130074328187536,0.869925671812464,7
"11","N","F",61,0.2,1,1,0.878787878787879,0.00391630850106563,0.5,0,1,1
"12","N","M",40,0.2,1,1,0.888888888888889,0.00977936535132374,0.25,0,1,1
"13","N"," ",41,0.2,0,1,0.626262626262626,0.0761123596042965,1,0.0507675938592491,0.949232406140751,6
"14","N","M",70,0.2,1,1,0.252525252525253,0.00891666226498407,0.25,0.00714688734248636,0.992853112657514,2
"15","N","M",56,0.2,1,1,0.474747474747475,0.0111357394705043,0.5,0.0100231303006939,0.989976869699306,2
"16","N","F",33,0.2,1,1,0.0606060606060606,0.00284846950651297,0.5,0.0742939898624185,0.925706010137581,4
"17","N","F",52,0.2,1,1,0.0101010101010101,0.00765674608963159,0,0.0149474375821288,0.985052562417871,2
"18","N","F",24,0.2,1,1,0.696969696969697,0.00806170693429368,0.75,0,1,2
"19","N","M",40,0.2,0,0,0.585858585858586,0.0420333915469013,1,0.0271979759645794,0.972802024035421,5
"20","N","F",74,0.2,1,1,0.0909090909090909,0.010787350645092,0.75,0.0362142031591113,0.963785796840889,3
"21","N","F",36,0.2,1,1,0.848484848484849,0.0102464997645361,0.25,0,1,1
