"","X1","sex","age","income1","same_city","same_count","seller_sco","dispersao","type","V11","V12","V12.1","income","actual"
"1",1,"M",30,0.2,"0","0",0.767676767676768,0.134981627090873,"1",1,21,6,"0.2","0"
"2",2,"M",32,0.2,"0","0",0.101010101010101,0.0789129985434364,"1",0.885634588563459,51,7,"0.2","1"
"3",3,"M",22,0.2,"1","1",0.0505050505050505,0.0115112811073009,"0.25",0.925706010137581,40,3,"0.2","0"
"4",4,"F",44,0.2,"1","1",0.505050505050505,0.00975205192724784,"0",0.957218167072182,3,2,"0.2","0"
"5",5,"M",39,0.2,"1","1",0.313131313131313,0.00644045125566917,"0.75",0.969899062725306,23,4,"0.2","0"
"6",6,"M",52,0.2,"0","0",0.808080808080808,0.181971385266548,"1",1,15,6,"0.2","0"
"7",7,"F",45,0.2,"0","1",0.808080808080808,0.0297485894021193,"1",1,12,4,"0.2","0"
"8",8,"M",68,0.2,"1","1",0.232323232323232,0.00785492508852974,"0.5",0.964021615472127,6,3,"0.2","0"
"9",9,"F",51,0.2,"1","1",0.202020202020202,0.00608300323788954,"0.25",0.974744760881247,17,3,"0.2","0"
"10",10,"F",26,0.2,"0","1",0.111111111111111,0.0600738910812952,"1",0.869925671812464,28,6,"0.2","0"
"11",11,"F",61,0.2,"1","1",0.878787878787879,0.00391630850106563,"0.5",1,48,2,"0.2","0"
"12",12,"M",40,0.2,"1","1",0.888888888888889,0.00977936535132374,"0.25",1,38,2,"0.2","0"
"13",14,"M",70,0.2,"1","1",0.252525252525253,0.00891666226498407,"0.25",0.992853112657514,13,3,"0.2","0"
"14",15,"M",56,0.2,"1","1",0.474747474747475,0.0111357394705043,"0.5",0.989976869699306,5,3,"0.2","0"
"15",16,"F",33,0.2,"1","1",0.0606060606060606,0.00284846950651297,"0.5",0.925706010137581,40,3,"0.2","0"
"16",17,"F",52,0.2,"1","1",0.0101010101010101,0.00765674608963159,"0",0.985052562417871,26,3,"0.2","0"
"17",18,"F",24,0.2,"1","1",0.696969696969697,0.00806170693429368,"0.75",1,34,3,"0.2","0"
"18",19,"M",40,0.2,"0","0",0.585858585858586,0.0420333915469013,"1",0.972802024035421,59,6,"0.2","0"
"19",20,"F",74,0.2,"1","1",0.0909090909090909,0.010787350645092,"0.75",0.963785796840889,42,4,"0.2","0"
"20",21,"F",36,0.2,"1","1",0.848484848484849,0.0102464997645361,"0.25",1,54,2,"0.2","0"
"21",22,"F",75,0.2,"1","1",0.676767676767677,0.0068681691421566,"0.5",1,34,2,"0.2","0"
"22",23,"F",20,0.2,"1","1",0.707070707070707,0.011528826418836,"0.5",1,22,2,"0.2","0"
"23",24,"M",42,0.2,"1","1",0.232323232323232,0.00214222346033732,"0",0.964021615472127,6,3,"0.2","0"
"24",25,"F",79,0.2,"1","1",0.0404040404040404,0.0108248293757822,"0.25",0.985052562417871,26,3,"0.2","0"
"25",26,"M",76,0.6,"1","1",0.424242424242424,0.00504298319377366,"0.5",0.990062111801242,41,2,"0.6","0"
"26",27,"F",35,0.2,"1","1",0.848484848484849,0.00772147081016679,"0",1,54,2,"0.2","0"
"27",28,"F",74,0.2,"0","0",0.151515151515152,0.0994122416262768,"1",0.87270942408377,60,7,"0.2","0"
"28",29,"F",44,0.2,"1","1",0.454545454545455,0.0115732736650451,"0.75",0.986548737792519,71,4,"0.2","0"
"29",30,"F",70,0.2,"1","1",0.818181818181818,0.0086793509821745,"0",1,33,2,"0.2","0"
"30",31,"F",38,1,"1","1",0.151515151515152,0.00423865493165198,"0.5",0.905070118662352,56,2,"1","0"
"31",32,"M",21,0.2,"1","1",0.777777777777778,0.0121984191560202,"0",1,25,2,"0.2","0"
"32",33,"F",30,0.4,"1","1",0.424242424242424,0.0119972029047112,"0",0.990062111801242,41,2,"0.4","0"
"33",34,"F",61,0.2,"1","1",0.939393939393939,0.00971088963164957,"0",1,64,2,"0.2","0"
"34",35,"F",76,0.2,"1","1",0.101010101010101,0.0100704667360873,"0.75",0.963785796840889,42,4,"0.2","0"
"35",36,"F",31,0.2,"1","1",0.505050505050505,0.0113577607680918,"0",0.957218167072182,3,2,"0.2","0"
"36",37,"F",38,0.2,"1","1",0.353535353535354,0.0689930642369009,"0.25",0.989998386836587,19,4,"0.2","0"
"37",38,"F",28,0.2,"1","1",0.282828282828283,0.00909492498442278,"0",0.992853112657514,13,3,"0.2","0"
"38",39,"F",53,0.2,"1","1",0.656565656565657,0.0106277775459748,"0.75",0.995424388011897,62,3,"0.2","0"
"39",40,"F",35,0.2,"0","1",0.868686868686869,0.0816558829710095,"1",1,12,5,"0.2","0"
"40",41,"F",20,0.2,"1","1",0.828282828282828,0.00419070796551645,"0.5",1,33,2,"0.2","0"
"41",42,"M",65,0.2,"1","1",0.767676767676768,0.00393405813474884,"0",1,25,2,"0.2","0"
"42",43,"F",65,0.2,"1","1",0.707070707070707,0.00366738234782104,"0.75",1,22,3,"0.2","0"
"43",44,"F",52,0.2,"1","1",0.878787878787879,0.0116517953158351,"0.75",1,48,3,"0.2","0"
"44",45,"M",62,0.2,"0","0",0.98989898989899,0.0662409686209538,"1",1,50,6,"0.2","0"
"45",46,"M",74,0.2,"0","0",0.585858585858586,0.035903882433611,"1",0.972802024035421,59,6,"0.2","0"
"46",47,"F",65,0.2,"1","1",0.939393939393939,0.00967702272115164,"0.5",1,64,2,"0.2","0"
"47",48,"F",55,0.2,"1","1",0.737373737373737,0.0152956844698597,"0.25",1,65,2,"0.2","0"
"48",49,"M",60,0.2,"1","1",0.717171717171717,0.00518195475568977,"0.5",1,45,2,"0.2","0"
"49",50,"F",75,0.2,"1","1",0.282828282828283,0.0123088056089377,"0",0.992853112657514,13,3,"0.2","0"
"50",51,"F",58,0.2,"1","1",0.545454545454545,0.0233066321875624,"0.5",0.979356270810211,2,2,"0.2","0"
"51",52,"M",73,0.2,"1","1",0.292929292929293,0.00379650707857969,"0.5",0.969899062725306,23,3,"0.2","0"
"52",53,"F",63,0.2,"0","1",0.171717171717172,0.00703147000474571,"1",0,29,4,"0.2","0"
"53",54,"M",34,0.4,"0","0",0.0505050505050505,0.0314310270884039,"1",0.885634588563459,51,6,"0.4","0"
"54",55,"F",39,0.2,"1","1",0.313131313131313,0.00289430541974743,"0.5",0.969899062725306,23,3,"0.2","0"
"55",56,"F",39,0.2,"1","1",0.262626262626263,0.0057133836353294,"0",0.992853112657514,13,3,"0.2","0"
"56",57,"M",44,0.2,"1","1",0.97979797979798,0.0114017286539981,"0.5",1,18,2,"0.2","0"
"57",58,"F",63,0.2,"1","1",0.111111111111111,0.0109994654219661,"0.25",0.963785796840889,42,3,"0.2","0"
"58",59,"M",71,0.2,"1","1",0.878787878787879,0.0113642053724367,"0.25",1,48,2,"0.2","0"
"59",60,"M",66,0.2,"1","1",0.888888888888889,0.022612041500896,"0.25",1,38,2,"0.2","0"
"60",61,"M",38,0.2,"1","1",0.101010101010101,0.010387695592047,"0.75",0.963785796840889,42,4,"0.2","0"
