"","fraud","sex","age","income1","same_city","same_count","seller_sco","dispersao","type","V10","V11","V12"
"1","N","M",30,0.2,0,0,0.767676767676768,0.134981627090873,1,0,1,21
"2","Y","M",32,0.2,0,0,0.101010101010101,0.0789129985434364,1,0.114365411436541,0.885634588563459,51
"3","N","M",22,0.2,1,1,0.0505050505050505,0.0115112811073009,0.25,0.0742939898624185,0.925706010137581,40
"4","N","F",44,0.2,1,1,0.505050505050505,0.00975205192724784,0,0.0427818329278183,0.957218167072182,3
"5","N","M",39,0.2,1,1,0.313131313131313,0.00644045125566917,0.75,0.0301009372746936,0.969899062725306,23
"6","N","M",52,0.2,0,0,0.808080808080808,0.181971385266548,1,0,1,15
"7","N","F",45,0.2,0,1,0.808080808080808,0.0297485894021193,1,0,1,12
"8","N","M",68,0.2,1,1,0.232323232323232,0.00785492508852974,0.5,0.0359783845278726,0.964021615472127,6
"9","N","F",51,0.2,1,1,0.202020202020202,0.00608300323788954,0.25,0.0252552391187534,0.974744760881247,17
"10","N","F",26,0.2,0,1,0.111111111111111,0.0600738910812952,1,0.130074328187536,0.869925671812464,28
"11","N","F",61,0.2,1,1,0.878787878787879,0.00391630850106563,0.5,0,1,48
"12","N","M",40,0.2,1,1,0.888888888888889,0.00977936535132374,0.25,0,1,38
"13","N"," ",41,0.2,0,1,0.626262626262626,0.0761123596042965,1,0.0507675938592491,0.949232406140751,31
"14","N","M",70,0.2,1,1,0.252525252525253,0.00891666226498407,0.25,0.00714688734248636,0.992853112657514,13
"15","N","M",56,0.2,1,1,0.474747474747475,0.0111357394705043,0.5,0.0100231303006939,0.989976869699306,5
"16","N","F",33,0.2,1,1,0.0606060606060606,0.00284846950651297,0.5,0.0742939898624185,0.925706010137581,40
"17","N","F",52,0.2,1,1,0.0101010101010101,0.00765674608963159,0,0.0149474375821288,0.985052562417871,26
"18","N","F",24,0.2,1,1,0.696969696969697,0.00806170693429368,0.75,0,1,34
"19","N","M",40,0.2,0,0,0.585858585858586,0.0420333915469013,1,0.0271979759645794,0.972802024035421,59
"20","N","F",74,0.2,1,1,0.0909090909090909,0.010787350645092,0.75,0.0362142031591113,0.963785796840889,42
"21","N","F",36,0.2,1,1,0.848484848484849,0.0102464997645361,0.25,0,1,54
"22","N","F",75,0.2,1,1,0.676767676767677,0.0068681691421566,0.5,0,1,34
"23","N","F",20,0.2,1,1,0.707070707070707,0.011528826418836,0.5,0,1,22
"24","N","M",42,0.2,1,1,0.232323232323232,0.00214222346033732,0,0.0359783845278726,0.964021615472127,6
"25","N","F",79,0.2,1,1,0.0404040404040404,0.0108248293757822,0.25,0.0149474375821288,0.985052562417871,26
"26","N","M",76,0.6,1,1,0.424242424242424,0.00504298319377366,0.5,0.00993788819875776,0.990062111801242,41
"27","N","F",35,0.2,1,1,0.848484848484849,0.00772147081016679,0,0,1,54
"28","N","F",74,0.2,0,0,0.151515151515152,0.0994122416262768,1,0.12729057591623,0.87270942408377,60
"29","N","F",44,0.2,1,1,0.454545454545455,0.0115732736650451,0.75,0.0134512622074811,0.986548737792519,71
"30","N","F",70,0.2,1,1,0.818181818181818,0.0086793509821745,0,0,1,33
"31","N","F",38,1,1,1,0.151515151515152,0.00423865493165198,0.5,0.0949298813376483,0.905070118662352,56
"32","N","M",21,0.2,1,1,0.777777777777778,0.0121984191560202,0,0,1,25
"33","N","F",30,0.4,1,1,0.424242424242424,0.0119972029047112,0,0.00993788819875776,0.990062111801242,41
"34","N","F",61,0.2,1,1,0.939393939393939,0.00971088963164957,0,0,1,64
"35","N","F",76,0.2,1,1,0.101010101010101,0.0100704667360873,0.75,0.0362142031591113,0.963785796840889,42
"36","N","F",31,0.2,1,1,0.505050505050505,0.0113577607680918,0,0.0427818329278183,0.957218167072182,3
"37","N","F",38,0.2,1,1,0.353535353535354,0.0689930642369009,0.25,0.0100016131634135,0.989998386836587,19
"38","N","F",28,0.2,1,1,0.282828282828283,0.00909492498442278,0,0.00714688734248636,0.992853112657514,13
"39","N","F",53,0.2,1,1,0.656565656565657,0.0106277775459748,0.75,0.00457561198810341,0.995424388011897,62
"40","N","F",35,0.2,0,1,0.868686868686869,0.0816558829710095,1,0,1,12
"41","N","F",20,0.2,1,1,0.828282828282828,0.00419070796551645,0.5,0,1,33
"42","N","M",65,0.2,1,1,0.767676767676768,0.00393405813474884,0,0,1,25
"43","N","F",65,0.2,1,1,0.707070707070707,0.00366738234782104,0.75,0,1,22
"44","N","F",52,0.2,1,1,0.878787878787879,0.0116517953158351,0.75,0,1,48
"45","N","M",62,0.2,0,0,0.98989898989899,0.0662409686209538,1,0,1,50
"46","N","M",74,0.2,0,0,0.585858585858586,0.035903882433611,1,0.0271979759645794,0.972802024035421,59
"47","N","F",65,0.2,1,1,0.939393939393939,0.00967702272115164,0.5,0,1,64
"48","N","F",55,0.2,1,1,0.737373737373737,0.0152956844698597,0.25,0,1,65
"49","N","M",60,0.2,1,1,0.717171717171717,0.00518195475568977,0.5,0,1,45
"50","N","F",75,0.2,1,1,0.282828282828283,0.0123088056089377,0,0.00714688734248636,0.992853112657514,13
